comment_id,content_id,comment_text,created_at
CM004064,C02392,I thought I was the only one dealing with this.,2026-04-13 12:00:00
CM004065,C02262,I found this confusing.,2026-05-25 13:00:00
CM004066,C04375,I had not thought about it this way.,2026-03-09 05:00:00
CM004067,C04666,I saved this because it explains how I feel.,2026-06-01 21:00:00
CM004068,C03857,This is painfully accurate but helpful.,2026-06-30 04:00:00
CM004069,C00118,"This is so relatable, thank you for saying it.",2026-04-03 21:00:00
CM004070,C00190,Finally someone put this feeling into words.,2026-04-17 20:00:00
CM004071,C04364,I thought I was the only one dealing with this.,2026-08-03 23:00:00
CM004072,C00398,The editing is clean.,2026-04-06 07:00:00
CM004073,C02406,Finally someone put this feeling into words.,2026-02-24 20:00:00
CM004074,C02280,The editing is clean.,2026-06-17 12:00:00
CM004075,C00547,Not sure this applies to everyone.,2026-05-08 05:00:00
CM004076,C00934,This made me feel understood.,2026-05-30 18:00:00
CM004077,C04977,How long is the full video?,2026-07-16 06:00:00
CM004078,C00917,Finally someone put this feeling into words.,2026-08-29 13:00:00
CM004079,C02969,What app did you use to make this?,2026-04-01 12:00:00
CM004080,C02692,Needed this reminder today.,2026-03-17 04:00:00
CM004081,C02788,What app did you use to make this?,2026-02-07 12:00:00
CM004082,C00325,I have been struggling with the same thing for months.,2026-08-15 00:00:00
CM004083,C01117,I don't agree with this.,2026-06-13 00:00:00
CM004084,C03988,I have been struggling with the same thing for months.,2026-05-02 23:00:00
CM004085,C00575,This is exactly what I needed to hear today.,2026-07-28 18:00:00
CM004086,C02280,Needed this reminder today.,2026-01-07 16:00:00
CM004087,C00232,Needed this reminder today.,2026-08-26 21:00:00
CM004088,C00291,Thanks for sharing.,2026-06-23 14:00:00
CM004089,C04928,I don't agree with this.,2026-03-17 08:00:00
CM004090,C03261,Nice explanation.,2026-04-04 06:00:00
CM004091,C02383,The editing is clean.,2026-07-15 14:00:00
CM004092,C00952,This topic is worth discussing.,2026-08-01 15:00:00
CM004093,C00389,I thought I was the only one dealing with this.,2026-02-01 05:00:00
CM004094,C03345,I found this confusing.,2026-04-10 14:00:00
CM004095,C02607,This advice did not help me.,2026-05-06 04:00:00
CM004096,C02783,I saved this because it explains how I feel.,2026-01-29 16:00:00
CM004097,C03594,This made me feel understood.,2026-03-20 01:00:00
CM004098,C03264,Interesting perspective.,2026-06-13 13:00:00
CM004099,C03160,This feels too generalized.,2026-03-12 23:00:00
CM004100,C00255,I had not thought about it this way.,2026-03-25 00:00:00
CM004101,C03406,You described my situation perfectly.,2026-02-04 08:00:00
CM004102,C03721,Finally someone put this feeling into words.,2026-05-31 01:00:00
CM004103,C04102,This made me feel understood.,2026-01-08 21:00:00
CM004104,C04450,This advice did not help me.,2026-03-12 13:00:00
CM004105,C04609,Nice explanation.,2026-08-21 12:00:00
CM004106,C01665,I had not thought about it this way.,2026-03-23 12:00:00
CM004107,C03689,Finally someone put this feeling into words.,2026-07-03 10:00:00
CM004108,C04442,"This is so relatable, thank you for saying it.",2026-05-07 12:00:00
CM004109,C02638,Good point.,2026-02-16 11:00:00
CM004110,C04983,I have been struggling with the same thing for months.,2026-05-05 07:00:00
CM004111,C00495,Finally someone put this feeling into words.,2026-04-26 17:00:00
CM004112,C03538,I had not thought about it this way.,2026-08-29 18:00:00
CM004113,C00063,How long is the full video?,2026-08-20 12:00:00
CM004114,C02767,Interesting perspective.,2026-05-11 13:00:00
CM004115,C01124,This is exactly what I needed to hear today.,2026-08-14 23:00:00
CM004116,C04642,I have been struggling with the same thing for months.,2026-05-27 05:00:00
CM004117,C04630,What app did you use to make this?,2026-01-24 15:00:00
CM004118,C00958,You described my situation perfectly.,2026-07-27 04:00:00
CM004119,C01127,I had not thought about it this way.,2026-06-27 10:00:00
CM004120,C02710,Thanks for sharing.,2026-01-02 22:00:00
CM004121,C00022,"This is so relatable, thank you for saying it.",2026-01-03 21:00:00
CM004122,C03764,Nice explanation.,2026-08-16 22:00:00
CM004123,C03248,I thought I was the only one dealing with this.,2026-03-18 08:00:00
CM004124,C01707,"This is so relatable, thank you for saying it.",2026-03-23 04:00:00
CM004125,C03205,Thanks for sharing.,2026-05-19 00:00:00
CM004126,C03642,This made me feel understood.,2026-07-19 20:00:00
CM004127,C04545,I found this confusing.,2026-05-16 11:00:00
CM004128,C01628,This made me feel understood.,2026-05-24 11:00:00
CM004129,C00420,Where can I find more information?,2026-01-16 02:00:00
CM004130,C02697,I have been struggling with the same thing for months.,2026-07-26 12:00:00
CM004131,C00971,Where can I find more information?,2026-02-11 12:00:00
CM004132,C02993,This is exactly what I needed to hear today.,2026-04-03 18:00:00
CM004133,C00223,This is exactly what I needed to hear today.,2026-05-21 17:00:00
CM004134,C04831,This advice did not help me.,2026-07-26 14:00:00
CM004135,C01548,The editing is clean.,2026-05-05 18:00:00
CM004136,C02596,How long is the full video?,2026-08-14 11:00:00
CM004137,C02743,I don't agree with this.,2026-02-17 00:00:00
CM004138,C01309,Finally someone put this feeling into words.,2026-03-14 05:00:00
CM004139,C00858,This is painfully accurate but helpful.,2026-06-29 15:00:00
CM004140,C01998,The editing is clean.,2026-05-31 05:00:00
CM004141,C03609,This is exactly what I needed to hear today.,2026-02-26 16:00:00
CM004142,C01169,Interesting perspective.,2026-02-20 12:00:00
CM004143,C01215,The editing is clean.,2026-03-27 04:00:00
CM004144,C03991,You described my situation perfectly.,2026-06-09 17:00:00
CM004145,C03544,How long is the full video?,2026-06-29 23:00:00
CM004146,C02692,What app did you use to make this?,2026-08-13 20:00:00
CM004147,C02104,"This is so relatable, thank you for saying it.",2026-06-16 01:00:00
CM004148,C03156,Good point.,2026-06-06 19:00:00
CM004149,C00420,This made me feel understood.,2026-03-24 06:00:00
CM004150,C00466,This is painfully accurate but helpful.,2026-06-27 20:00:00
CM004151,C00699,Thanks for sharing.,2026-05-24 07:00:00
CM004152,C01863,I saved this because it explains how I feel.,2026-08-01 08:00:00
CM004153,C00525,"This is so relatable, thank you for saying it.",2026-01-25 02:00:00
CM004154,C01130,Good point.,2026-06-14 08:00:00
CM004155,C04179,Interesting perspective.,2026-03-06 17:00:00
CM004156,C04726,I saved this because it explains how I feel.,2026-03-02 23:00:00
CM004157,C04644,What app did you use to make this?,2026-01-03 07:00:00
CM004158,C03025,I have been struggling with the same thing for months.,2026-06-10 05:00:00
CM004159,C04596,This is painfully accurate but helpful.,2026-03-04 06:00:00
CM004160,C00435,Needed this reminder today.,2026-08-13 11:00:00
CM004161,C03243,This topic is worth discussing.,2026-04-30 20:00:00
CM004162,C03351,Finally someone put this feeling into words.,2026-06-25 00:00:00
CM004163,C04893,Where can I find more information?,2026-04-23 07:00:00
CM004164,C01502,"This is so relatable, thank you for saying it.",2026-03-06 21:00:00
CM004165,C01978,How long is the full video?,2026-06-13 08:00:00
CM004166,C00128,I found this confusing.,2026-08-06 18:00:00
CM004167,C02697,Finally someone put this feeling into words.,2026-06-02 20:00:00
CM004168,C00920,You described my situation perfectly.,2026-08-12 21:00:00
CM004169,C01935,"This is so relatable, thank you for saying it.",2026-03-14 20:00:00
CM004170,C02167,I found this confusing.,2026-02-27 07:00:00
CM004171,C02654,Interesting perspective.,2026-02-06 22:00:00
CM004172,C01490,This feels too generalized.,2026-03-30 19:00:00
CM004173,C01941,The editing is clean.,2026-08-18 19:00:00
CM004174,C03011,I had not thought about it this way.,2026-01-28 03:00:00
CM004175,C03503,This feels too generalized.,2026-05-25 04:00:00
CM004176,C03255,This is exactly what I needed to hear today.,2026-08-13 08:00:00
CM004177,C00132,Needed this reminder today.,2026-05-14 14:00:00
CM004178,C01272,This is painfully accurate but helpful.,2026-05-20 21:00:00
CM004179,C03412,I had not thought about it this way.,2026-06-30 12:00:00
CM004180,C04549,Good point.,2026-03-20 15:00:00
CM004181,C03474,Not sure this applies to everyone.,2026-05-31 05:00:00
CM004182,C01982,Interesting perspective.,2026-03-07 22:00:00
CM004183,C02408,This made me feel understood.,2026-08-07 10:00:00
CM004184,C01482,Not sure this applies to everyone.,2026-05-17 23:00:00
CM004185,C01408,This topic is worth discussing.,2026-04-08 15:00:00
CM004186,C01110,Needed this reminder today.,2026-08-23 13:00:00
CM004187,C04556,Interesting perspective.,2026-04-30 22:00:00
CM004188,C02926,Needed this reminder today.,2026-04-23 10:00:00
CM004189,C03340,Interesting perspective.,2026-03-01 07:00:00
CM004190,C02352,Good point.,2026-08-26 08:00:00
CM004191,C00952,This is exactly what I needed to hear today.,2026-06-10 00:00:00
CM004192,C01281,Interesting perspective.,2026-06-29 12:00:00
CM004193,C01107,Good point.,2026-08-06 13:00:00
CM004194,C02017,Where can I find more information?,2026-06-20 12:00:00
CM004195,C00444,Nice explanation.,2026-08-20 11:00:00
CM004196,C03649,This made me feel understood.,2026-02-07 03:00:00
CM004197,C04388,I thought I was the only one dealing with this.,2026-04-24 10:00:00
CM004198,C03638,This is painfully accurate but helpful.,2026-02-17 05:00:00
CM004199,C04660,I saved this because it explains how I feel.,2026-03-17 19:00:00
CM004200,C00652,I have been struggling with the same thing for months.,2026-06-28 19:00:00
CM004201,C01881,I had not thought about it this way.,2026-05-13 19:00:00
CM004202,C03646,You described my situation perfectly.,2026-02-10 00:00:00
CM004203,C02002,Interesting perspective.,2026-06-20 15:00:00
CM004204,C00754,What app did you use to make this?,2026-05-14 04:00:00
CM004205,C04081,This made me feel understood.,2026-03-29 04:00:00
CM004206,C03513,I thought I was the only one dealing with this.,2026-05-05 02:00:00
CM004207,C01886,This is painfully accurate but helpful.,2026-07-08 17:00:00
CM004208,C02460,What app did you use to make this?,2026-06-25 06:00:00
CM004209,C00743,Needed this reminder today.,2026-02-15 19:00:00
CM004210,C01140,Needed this reminder today.,2026-05-14 06:00:00
CM004211,C04310,This feels too generalized.,2026-03-31 16:00:00
CM004212,C00771,Where can I find more information?,2026-02-22 19:00:00
CM004213,C00871,I thought I was the only one dealing with this.,2026-08-19 09:00:00
CM004214,C04108,This topic is worth discussing.,2026-07-09 00:00:00
CM004215,C03297,Needed this reminder today.,2026-08-01 00:00:00
CM004216,C00622,Good point.,2026-07-09 20:00:00
CM004217,C01563,Not sure this applies to everyone.,2026-07-12 01:00:00
CM004218,C01078,I thought I was the only one dealing with this.,2026-01-10 13:00:00
CM004219,C02021,I don't agree with this.,2026-08-29 15:00:00
CM004220,C01927,Nice explanation.,2026-05-12 04:00:00
CM004221,C02203,You described my situation perfectly.,2026-03-19 14:00:00
CM004222,C03429,Thanks for sharing.,2026-01-20 19:00:00
CM004223,C04780,You described my situation perfectly.,2026-01-04 21:00:00
CM004224,C04711,I saved this because it explains how I feel.,2026-01-29 02:00:00
CM004225,C02827,This topic is worth discussing.,2026-03-19 21:00:00
CM004226,C03379,You described my situation perfectly.,2026-01-14 17:00:00
CM004227,C01181,Not sure this applies to everyone.,2026-03-03 22:00:00
CM004228,C03499,This made me feel understood.,2026-07-03 20:00:00
CM004229,C04272,What app did you use to make this?,2026-03-23 08:00:00
CM004230,C02476,I had not thought about it this way.,2026-05-18 06:00:00
CM004231,C00211,Interesting perspective.,2026-06-26 11:00:00
CM004232,C01675,This is painfully accurate but helpful.,2026-05-03 13:00:00
CM004233,C02002,I have been struggling with the same thing for months.,2026-04-30 14:00:00
CM004234,C04011,The editing is clean.,2026-02-21 12:00:00
CM004235,C00388,I have been struggling with the same thing for months.,2026-02-20 19:00:00
CM004236,C02050,How long is the full video?,2026-01-06 12:00:00
CM004237,C04752,You described my situation perfectly.,2026-01-06 07:00:00
CM004238,C01457,Interesting perspective.,2026-02-23 23:00:00
CM004239,C04053,This is exactly what I needed to hear today.,2026-01-18 05:00:00
CM004240,C00574,Good point.,2026-03-19 09:00:00
CM004241,C02227,Good point.,2026-01-02 15:00:00
CM004242,C03320,Thanks for sharing.,2026-07-29 04:00:00
CM004243,C01116,I have been struggling with the same thing for months.,2026-06-14 20:00:00
CM004244,C02966,"This is so relatable, thank you for saying it.",2026-02-05 13:00:00
CM004245,C04146,I thought I was the only one dealing with this.,2026-02-12 11:00:00
CM004246,C03036,This is painfully accurate but helpful.,2026-02-20 19:00:00
CM004247,C04613,I thought I was the only one dealing with this.,2026-02-15 20:00:00
CM004248,C01808,I thought I was the only one dealing with this.,2026-02-03 09:00:00
CM004249,C03443,Not sure this applies to everyone.,2026-02-25 09:00:00
CM004250,C02004,The editing is clean.,2026-07-09 09:00:00
CM004251,C04322,I have been struggling with the same thing for months.,2026-05-13 11:00:00
CM004252,C03471,What app did you use to make this?,2026-02-04 21:00:00
CM004253,C00824,I saved this because it explains how I feel.,2026-02-11 02:00:00
CM004254,C02562,I have been struggling with the same thing for months.,2026-01-25 10:00:00
CM004255,C00742,This is exactly what I needed to hear today.,2026-07-22 00:00:00
CM004256,C00845,Good point.,2026-05-04 11:00:00
CM004257,C00685,"This is so relatable, thank you for saying it.",2026-04-22 01:00:00
CM004258,C04032,This is exactly what I needed to hear today.,2026-05-03 13:00:00
CM004259,C00841,I saved this because it explains how I feel.,2026-04-25 09:00:00
CM004260,C01965,How long is the full video?,2026-04-18 09:00:00
CM004261,C02437,How long is the full video?,2026-04-11 08:00:00
CM004262,C00210,Where can I find more information?,2026-07-26 23:00:00
CM004263,C04065,I don't agree with this.,2026-07-18 17:00:00
CM004264,C03551,I thought I was the only one dealing with this.,2026-05-15 18:00:00
CM004265,C00910,Interesting perspective.,2026-07-15 16:00:00
CM004266,C02007,I don't agree with this.,2026-01-06 17:00:00
CM004267,C00384,I had not thought about it this way.,2026-06-24 03:00:00
CM004268,C04201,"This is so relatable, thank you for saying it.",2026-03-18 12:00:00
CM004269,C01448,Finally someone put this feeling into words.,2026-01-26 18:00:00
CM004270,C00680,How long is the full video?,2026-07-07 15:00:00
CM004271,C01234,I have been struggling with the same thing for months.,2026-07-18 23:00:00
CM004272,C04778,Needed this reminder today.,2026-02-04 05:00:00
CM004273,C00046,What app did you use to make this?,2026-05-22 03:00:00
CM004274,C04293,Good point.,2026-07-24 18:00:00
CM004275,C04046,How long is the full video?,2026-06-08 23:00:00
CM004276,C00530,How long is the full video?,2026-05-05 12:00:00
CM004277,C04197,I had not thought about it this way.,2026-03-04 01:00:00
CM004278,C01088,I thought I was the only one dealing with this.,2026-03-21 18:00:00
CM004279,C02159,This made me feel understood.,2026-07-25 08:00:00
CM004280,C00697,I found this confusing.,2026-02-23 06:00:00
CM004281,C00027,I have been struggling with the same thing for months.,2026-01-25 13:00:00
CM004282,C02633,What app did you use to make this?,2026-03-19 23:00:00
CM004283,C01623,Where can I find more information?,2026-03-27 15:00:00
CM004284,C03956,I found this confusing.,2026-01-14 01:00:00
CM004285,C01725,This made me feel understood.,2026-05-08 07:00:00
CM004286,C02634,I had not thought about it this way.,2026-05-16 05:00:00
CM004287,C03976,I thought I was the only one dealing with this.,2026-08-07 05:00:00
CM004288,C03389,"This is so relatable, thank you for saying it.",2026-03-03 23:00:00
CM004289,C01090,Interesting perspective.,2026-03-12 01:00:00
CM004290,C00603,I had not thought about it this way.,2026-07-31 17:00:00
CM004291,C04328,I thought I was the only one dealing with this.,2026-04-16 07:00:00
CM004292,C00287,This made me feel understood.,2026-02-04 12:00:00
CM004293,C02620,This advice did not help me.,2026-05-21 12:00:00
CM004294,C03623,Nice explanation.,2026-04-23 07:00:00
CM004295,C02971,Thanks for sharing.,2026-05-13 15:00:00
CM004296,C03695,I have been struggling with the same thing for months.,2026-06-25 06:00:00
CM004297,C00809,I had not thought about it this way.,2026-08-11 11:00:00
CM004298,C01163,Needed this reminder today.,2026-07-02 03:00:00
CM004299,C01971,This made me feel understood.,2026-07-08 19:00:00
CM004300,C02990,Not sure this applies to everyone.,2026-02-23 11:00:00
CM004301,C03140,Needed this reminder today.,2026-08-02 05:00:00
CM004302,C00987,Interesting perspective.,2026-08-19 09:00:00
CM004303,C03027,This feels too generalized.,2026-01-27 09:00:00
CM004304,C02601,Nice explanation.,2026-08-18 15:00:00
CM004305,C02775,I have been struggling with the same thing for months.,2026-04-07 12:00:00
CM004306,C03308,I thought I was the only one dealing with this.,2026-04-11 13:00:00
CM004307,C00257,This made me feel understood.,2026-05-31 00:00:00
CM004308,C04999,I have been struggling with the same thing for months.,2026-04-22 02:00:00
CM004309,C03602,Interesting perspective.,2026-04-26 21:00:00
CM004310,C03390,Good point.,2026-03-22 21:00:00
CM004311,C00775,What app did you use to make this?,2026-03-25 03:00:00
CM004312,C01848,Finally someone put this feeling into words.,2026-04-06 20:00:00
CM004313,C01538,Interesting perspective.,2026-05-25 16:00:00
CM004314,C00840,This is painfully accurate but helpful.,2026-07-11 10:00:00
CM004315,C00121,Thanks for sharing.,2026-02-03 14:00:00
CM004316,C01686,Thanks for sharing.,2026-05-04 10:00:00
CM004317,C03994,You described my situation perfectly.,2026-04-30 07:00:00
CM004318,C01970,Finally someone put this feeling into words.,2026-08-05 11:00:00
CM004319,C04232,This topic is worth discussing.,2026-01-28 22:00:00
CM004320,C00736,This topic is worth discussing.,2026-04-10 10:00:00
CM004321,C01496,Thanks for sharing.,2026-03-14 09:00:00
CM004322,C00496,I don't agree with this.,2026-06-17 20:00:00
CM004323,C04500,This made me feel understood.,2026-01-28 14:00:00
CM004324,C02653,The editing is clean.,2026-06-27 17:00:00
CM004325,C02871,I have been struggling with the same thing for months.,2026-08-25 22:00:00
CM004326,C03198,Finally someone put this feeling into words.,2026-03-22 22:00:00
CM004327,C00381,Where can I find more information?,2026-03-17 19:00:00
CM004328,C01645,"This is so relatable, thank you for saying it.",2026-08-09 15:00:00
CM004329,C00078,This is painfully accurate but helpful.,2026-03-02 18:00:00
CM004330,C00201,Needed this reminder today.,2026-05-04 05:00:00
CM004331,C00367,Interesting perspective.,2026-02-01 10:00:00
CM004332,C04418,I don't agree with this.,2026-05-03 17:00:00
CM004333,C00487,I had not thought about it this way.,2026-07-18 00:00:00
CM004334,C03384,This topic is worth discussing.,2026-01-13 00:00:00
CM004335,C01124,I have been struggling with the same thing for months.,2026-07-02 08:00:00
CM004336,C01446,I have been struggling with the same thing for months.,2026-07-25 15:00:00
CM004337,C01358,I had not thought about it this way.,2026-01-31 11:00:00
CM004338,C04471,I thought I was the only one dealing with this.,2026-05-28 17:00:00
CM004339,C00733,Nice explanation.,2026-05-24 04:00:00
CM004340,C01704,Finally someone put this feeling into words.,2026-02-25 11:00:00
CM004341,C02719,You described my situation perfectly.,2026-01-10 08:00:00
CM004342,C01319,How long is the full video?,2026-03-18 04:00:00
CM004343,C00244,I saved this because it explains how I feel.,2026-05-20 12:00:00
CM004344,C03154,Interesting perspective.,2026-03-30 19:00:00
CM004345,C02525,This is painfully accurate but helpful.,2026-01-13 22:00:00
CM004346,C02469,You described my situation perfectly.,2026-07-21 23:00:00
CM004347,C02105,This is painfully accurate but helpful.,2026-07-04 05:00:00
CM004348,C04650,Where can I find more information?,2026-07-15 01:00:00
CM004349,C02578,This made me feel understood.,2026-08-01 15:00:00
CM004350,C04973,This feels too generalized.,2026-05-11 20:00:00
CM004351,C04207,I thought I was the only one dealing with this.,2026-04-22 13:00:00
CM004352,C03596,I have been struggling with the same thing for months.,2026-07-09 21:00:00
CM004353,C01832,Nice explanation.,2026-08-06 23:00:00
CM004354,C03584,Needed this reminder today.,2026-05-18 08:00:00
CM004355,C03007,I have been struggling with the same thing for months.,2026-02-12 11:00:00
CM004356,C00314,Good point.,2026-02-05 21:00:00
CM004357,C01950,I have been struggling with the same thing for months.,2026-07-10 12:00:00
CM004358,C03612,Nice explanation.,2026-02-23 15:00:00
CM004359,C03578,Finally someone put this feeling into words.,2026-04-25 10:00:00
CM004360,C02240,Good point.,2026-03-20 10:00:00
CM004361,C00786,Nice explanation.,2026-07-13 21:00:00
CM004362,C00909,This is exactly what I needed to hear today.,2026-02-25 01:00:00
CM004363,C02077,I thought I was the only one dealing with this.,2026-04-29 09:00:00
CM004364,C03511,This made me feel understood.,2026-08-06 18:00:00
CM004365,C01880,This made me feel understood.,2026-04-25 05:00:00
CM004366,C00357,I don't agree with this.,2026-02-17 06:00:00
CM004367,C03229,This is painfully accurate but helpful.,2026-03-19 04:00:00
CM004368,C03841,This is painfully accurate but helpful.,2026-01-24 08:00:00
CM004369,C00154,This is exactly what I needed to hear today.,2026-07-19 06:00:00
CM004370,C03454,I thought I was the only one dealing with this.,2026-07-22 03:00:00
CM004371,C01230,Needed this reminder today.,2026-08-26 22:00:00
CM004372,C01637,Needed this reminder today.,2026-02-04 02:00:00
CM004373,C04014,I saved this because it explains how I feel.,2026-03-04 00:00:00
CM004374,C02468,This topic is worth discussing.,2026-01-02 02:00:00
CM004375,C03286,This is painfully accurate but helpful.,2026-04-27 17:00:00
CM004376,C03863,You described my situation perfectly.,2026-06-14 07:00:00
CM004377,C03262,Nice explanation.,2026-03-12 12:00:00
CM004378,C00118,Finally someone put this feeling into words.,2026-02-06 09:00:00
CM004379,C02007,Finally someone put this feeling into words.,2026-01-25 23:00:00
CM004380,C03855,Interesting perspective.,2026-04-07 03:00:00
CM004381,C02354,The editing is clean.,2026-07-12 00:00:00
CM004382,C03196,I have been struggling with the same thing for months.,2026-03-20 14:00:00
CM004383,C00919,How long is the full video?,2026-06-11 00:00:00
CM004384,C01720,This topic is worth discussing.,2026-08-21 21:00:00
CM004385,C02439,Needed this reminder today.,2026-01-19 03:00:00
CM004386,C02942,Needed this reminder today.,2026-01-24 20:00:00
CM004387,C01839,Nice explanation.,2026-06-28 11:00:00
CM004388,C03234,Finally someone put this feeling into words.,2026-01-14 20:00:00
CM004389,C01777,I have been struggling with the same thing for months.,2026-04-26 13:00:00
CM004390,C01773,I thought I was the only one dealing with this.,2026-07-08 05:00:00
CM004391,C00354,I thought I was the only one dealing with this.,2026-07-07 00:00:00
CM004392,C00269,You described my situation perfectly.,2026-03-22 15:00:00
CM004393,C02237,Interesting perspective.,2026-01-28 12:00:00
CM004394,C03971,How long is the full video?,2026-05-17 05:00:00
CM004395,C03852,How long is the full video?,2026-04-02 11:00:00
CM004396,C03378,What app did you use to make this?,2026-01-03 09:00:00
CM004397,C04342,This is painfully accurate but helpful.,2026-07-29 20:00:00
CM004398,C02469,This is painfully accurate but helpful.,2026-08-28 10:00:00
CM004399,C03384,Finally someone put this feeling into words.,2026-01-08 01:00:00
CM004400,C02609,Good point.,2026-06-07 18:00:00
CM004401,C02381,This is exactly what I needed to hear today.,2026-03-04 18:00:00
CM004402,C03963,"This is so relatable, thank you for saying it.",2026-06-08 16:00:00
CM004403,C04862,I have been struggling with the same thing for months.,2026-01-25 19:00:00
CM004404,C01396,I had not thought about it this way.,2026-07-01 11:00:00
CM004405,C01168,This made me feel understood.,2026-01-25 11:00:00
CM004406,C04320,Good point.,2026-03-29 22:00:00
CM004407,C00207,What app did you use to make this?,2026-03-20 15:00:00
CM004408,C04107,Needed this reminder today.,2026-04-08 05:00:00
CM004409,C04112,The editing is clean.,2026-04-24 22:00:00
CM004410,C01547,You described my situation perfectly.,2026-04-16 22:00:00
CM004411,C00908,Good point.,2026-02-16 10:00:00
CM004412,C01187,Where can I find more information?,2026-07-12 02:00:00
CM004413,C02659,You described my situation perfectly.,2026-08-21 17:00:00
CM004414,C04495,I have been struggling with the same thing for months.,2026-01-21 07:00:00
CM004415,C01988,You described my situation perfectly.,2026-05-22 08:00:00
CM004416,C03814,How long is the full video?,2026-03-11 21:00:00
CM004417,C02300,I thought I was the only one dealing with this.,2026-08-19 15:00:00
CM004418,C03551,I found this confusing.,2026-07-09 00:00:00
CM004419,C02330,Interesting perspective.,2026-06-04 11:00:00
CM004420,C04518,Needed this reminder today.,2026-01-17 15:00:00
CM004421,C00606,I thought I was the only one dealing with this.,2026-07-13 04:00:00
CM004422,C04144,I have been struggling with the same thing for months.,2026-08-18 11:00:00
CM004423,C02462,Nice explanation.,2026-08-15 07:00:00
CM004424,C04251,This advice did not help me.,2026-05-14 18:00:00
CM004425,C01398,This topic is worth discussing.,2026-05-31 15:00:00
CM004426,C02109,"This is so relatable, thank you for saying it.",2026-01-30 12:00:00
CM004427,C01911,I have been struggling with the same thing for months.,2026-01-14 09:00:00
CM004428,C04173,Interesting perspective.,2026-02-17 15:00:00
CM004429,C01777,This is painfully accurate but helpful.,2026-03-24 12:00:00
CM004430,C03680,Interesting perspective.,2026-02-19 19:00:00
CM004431,C00340,This is painfully accurate but helpful.,2026-04-26 23:00:00
CM004432,C01620,This made me feel understood.,2026-02-15 01:00:00
CM004433,C01457,Needed this reminder today.,2026-07-16 21:00:00
CM004434,C01567,I have been struggling with the same thing for months.,2026-05-06 14:00:00
CM004435,C04751,This is painfully accurate but helpful.,2026-01-26 07:00:00
CM004436,C01149,I had not thought about it this way.,2026-07-15 19:00:00
CM004437,C04345,Needed this reminder today.,2026-01-09 08:00:00
CM004438,C00719,I had not thought about it this way.,2026-02-09 09:00:00
CM004439,C04114,"This is so relatable, thank you for saying it.",2026-06-11 10:00:00
CM004440,C03625,Good point.,2026-01-13 04:00:00
CM004441,C02974,This made me feel understood.,2026-03-03 08:00:00
CM004442,C02307,Thanks for sharing.,2026-01-09 06:00:00
CM004443,C00381,Needed this reminder today.,2026-01-12 12:00:00
CM004444,C01534,Finally someone put this feeling into words.,2026-01-31 07:00:00
CM004445,C00119,This topic is worth discussing.,2026-02-03 02:00:00
CM004446,C01404,Where can I find more information?,2026-02-18 18:00:00
CM004447,C04366,Where can I find more information?,2026-07-31 14:00:00
CM004448,C04893,Needed this reminder today.,2026-04-10 04:00:00
CM004449,C01114,You described my situation perfectly.,2026-01-05 08:00:00
CM004450,C02012,I saved this because it explains how I feel.,2026-06-29 16:00:00
CM004451,C01272,This made me feel understood.,2026-01-18 12:00:00
CM004452,C03571,How long is the full video?,2026-01-06 21:00:00
CM004453,C03716,What app did you use to make this?,2026-06-08 07:00:00
CM004454,C04598,I have been struggling with the same thing for months.,2026-03-10 10:00:00
CM004455,C01047,I had not thought about it this way.,2026-08-12 20:00:00
CM004456,C01622,I had not thought about it this way.,2026-01-07 04:00:00
CM004457,C01911,Where can I find more information?,2026-03-06 21:00:00
CM004458,C00908,This advice did not help me.,2026-08-29 00:00:00
CM004459,C04096,This is painfully accurate but helpful.,2026-06-29 04:00:00
CM004460,C04875,I saved this because it explains how I feel.,2026-06-17 21:00:00
CM004461,C02277,This is painfully accurate but helpful.,2026-01-20 15:00:00
CM004462,C03730,Finally someone put this feeling into words.,2026-02-18 03:00:00
CM004463,C02191,This topic is worth discussing.,2026-05-24 05:00:00
CM004464,C03351,The editing is clean.,2026-01-25 16:00:00
CM004465,C01955,You described my situation perfectly.,2026-06-26 02:00:00
CM004466,C03695,The editing is clean.,2026-03-10 12:00:00
CM004467,C04948,Needed this reminder today.,2026-04-29 11:00:00
CM004468,C01196,I saved this because it explains how I feel.,2026-06-28 05:00:00
CM004469,C03189,Not sure this applies to everyone.,2026-01-13 12:00:00
CM004470,C02641,"This is so relatable, thank you for saying it.",2026-08-30 09:00:00
CM004471,C04206,I had not thought about it this way.,2026-07-30 22:00:00
CM004472,C01596,This is painfully accurate but helpful.,2026-03-06 08:00:00
CM004473,C03670,This is painfully accurate but helpful.,2026-03-07 05:00:00
CM004474,C00565,Finally someone put this feeling into words.,2026-07-16 12:00:00
CM004475,C01787,Good point.,2026-06-15 10:00:00
CM004476,C04556,Finally someone put this feeling into words.,2026-07-21 02:00:00
CM004477,C04693,This is painfully accurate but helpful.,2026-05-10 18:00:00
CM004478,C02061,I have been struggling with the same thing for months.,2026-06-13 18:00:00
CM004479,C02461,Needed this reminder today.,2026-08-26 00:00:00
CM004480,C02744,Needed this reminder today.,2026-05-05 08:00:00
CM004481,C01959,This made me feel understood.,2026-04-10 19:00:00
CM004482,C01143,This is painfully accurate but helpful.,2026-08-13 17:00:00
CM004483,C02641,I saved this because it explains how I feel.,2026-07-23 08:00:00
